source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/pilot.cpp	798	00426820		UpdateTrainSimHighScores				unmapped
src/pilot.cpp	832	004268E0		ShowTrainSimHighScores				unmapped
src/pilot.cpp	945	00426C50		LoadTrainSimOpponentShape				unmapped
src/pilot.cpp	958	00426C70		SelectWc1TrainSimMission				unmapped
src/pload.c	11	0042B050	004465A0	PacketLoad	PacketLoad	WC1-fuzzy-followup		mapped
src/pload.c	11		00446560	LoadGraphicsDriver	LoadGraphicsDriver	WC2-only		wc2-only
src/pload.c	122	0042B160	00423CA0	InitializeAudioSystem	InitializeAudioSystem	WC1-fuzzy-followup		mapped
src/pload.c	134	0042B1B0	00423D02	ServiceAudioStream	GetAudioStreamFnB1B0	WC1-auto-vt		mapped
src/pload.c	146	0042B1F0	00423D4F	AllocateWaveTableEntry	AllocateWaveTableEntry	WC1-fuzzy-medium		mapped
src/pload.c	162	0042B240	00423DBB	FindWaveTableEntryByName	FindWaveTableEntryByName	WC1-order-exact		mapped
src/pload.c	175	0042B290	00423E12	RemoveWaveTableEntry	RemoveWaveTableEntry	WC1-manual-verified		mapped
src/pload.c	197	0042B300	00423ED1	FreeWaveTable	LoopAudioStreamFnB300	WC1-callgraph-transfer		mapped
src/pload.c	213	0042B340	00423F3F	AllocateActiveSoundEntry	AllocateActiveSoundEntry	WC1-fuzzy-medium	WC1-review-module-mismatch	mapped
src/pload.c	229	0042B390	00423FAB	RemoveActiveSoundEntry	RemoveActiveSoundEntry	WC1-callgraph-single-low		mapped
src/pload.c	250	0042B3F0		FindActiveSoundEntryBySample				unmapped
src/screen.c	0		00401859	ReserveContiguousPaletteEntries	ReserveContiguousPaletteEntries	WC2-only		wc2-only
src/screen.c	0		00401922	ReleaseContiguousPaletteEntries	ReleaseContiguousPaletteEntries	WC2-only		wc2-only
src/screen.c	9	0042EFC0	00421910	cleanup_objectives	ScanTbl0046c97aFnEFC0	WC1-fuzzy-followup		mapped
src/screen.c	89	0042F1F0	00421BC6	IsShipRouting	IsShipRouting	manual-verified		mapped
src/screen.c	95	0042F210	00421BFC	SendWingmanCommandAcknowledgement	SendWingmanCommandAcknowledgement	manual-verified		mapped
src/screen.c	105	0042F240	00421C35	disobey_formation	disobey_formation	WC1-callgraph-propagated		mapped
src/screen.c	133	0042F270	00421CF6	IsEngagementTargetDisallowed	IsEngagementTargetDisallowed	manual-verified		mapped
src/screen.c	143	0042F2B0	00421D59	CanPlayerLand	CanPlayerLand	manual-verified		mapped
src/screen.c	197	0042F350	00421E6D	ShouldWingmanAcceptRoutCommand	ShouldWingmanAcceptRoutCommand	manual-verified		mapped
src/screen.c	238	0042F3F0	00421F86	request	ScanTbl0059ce60FnF3F0	WC1-callgraph-propagated		mapped
src/screen.c	353	0042F730		ShouldSuspendCursorForRect				unmapped
src/screen.c	360	0042F740	0040FB80	InitializeDIBScreenViewport	InitializeDIBScreenViewport	WC1-fuzzy-followup		mapped
src/screen.c	394	0042F7E0	0040FC7E	InitFullScreenViewport	DoUiFnF7E0	WC1-callgraph-single		mapped
src/screen.c	408	0042F810	00453A70	GetPacketSize	GetPacketSize	WC1-callgraph-propagated		mapped
src/screen.c	434	0042F890	00421144	GetFreeNearHeapBytes	GetFreeNearHeapBytes	WC1-callgraph-single-low		mapped
src/screen.c	453	0042F930		FrameStartHook				unmapped
src/screen.c	459	0042F940	00458E20	IsSoundHardwarePresent	DoLocalFnF940	WC1-callgraph-single-low		mapped
src/screen.c	466	0042F950	00458E39	MessagePumpHook	MessagePumpHook	WC1-manual-verified		mapped
src/screen.c	472	0042F960	00458E49	PushMemoryStackFrame	PushMemoryStackFrame	WC1-fuzzy-medium		mapped
src/screen.c	497	0042F9E0	00458EED	IsPushedPacketHandle	IsPushedPacketHandle	WC1-callgraph-single		mapped
src/screen.c	529	0042FA20	00458F5A	MapPacketHandleToBlock	MapPacketHandleToBlock	WC1-order-exact		mapped
src/screen.c	593	0042FA90	0045901D	AllocateTaggedMemory	AllocateTaggedMemory	WC1-fuzzy-followup		mapped
src/screen.c	623	0042FAE0	00459082	ReleasePacketHandle	ReleasePacketHandle	WC1-order-exact		mapped
src/screen.c	644	0042FB20	00459134	GetAvailableFarMemoryByType	GetAvailableFarMemoryByType	WC1-order-exact		mapped
src/screen.c	654	0042FB30	00459149	GetLargestFreeMemoryBlockByType	GetLargestFreeMemoryBlockByType	WC1-order-exact		mapped
src/screen.c	661	0042FB40		CreateCannedSceneObject				unmapped
src/screen.c	684	0042FC00		ShowCampaignVictorySequence				unmapped
src/screen.c	909	00430150		ShowTigerClawEscapeScene				unmapped
src/screen.c	1045	004304F0	00429261	RunCampaignScript	RunCampaignScript	WC2-manual-verified		mapped
src/screen.c	1100	00430710	00421210	UpdateInputDeviceTransitions	UpdateInputDeviceTransitions	WC1-manual-verified		mapped
src/screen.c	1152	00430840	00421409	PollJoystickButtonEvents	PollJoystickButtonEvents	WC1-fuzzy-very-low		mapped
src/screen.c	1192	00430920	00421530	PollMenuInputDevices	PollMenuInputDevices	WC1-fuzzy-low		mapped
src/screen.c	1305	00430BC0		get_face				unmapped
src/screen.c	1315	00430BF0		LoadCommPortraitShape				unmapped
src/screen.c	1350	00430CA0	004473D1	IsCommMenuIdle	IsCommMenuIdle	WC1-callgraph-single-low		mapped
src/screen.c	1356	00430CB0	004473FC	AppendCommMenuChoice	AppendCommMenuChoice	WC1-order-exact		mapped
src/screen.c	1387	00430D30	00447479	SendCommMenuChoice	SendCommMenuChoice	WC1-order-exact		mapped
src/screen.c	1400	00430D50	004474CA	OpenCommMenuForTarget	OpenCommMenuForTarget	WC1-fuzzy-low		mapped
src/screen.c	1407	00430D80	004474F4	IsCommChoiceMenuOpen	IsCommChoiceMenuOpen	WC1-manual-verified		mapped
src/screen.c	1410	00430C50	00447369	ResetCommMenuChoices	ResetCommMenuChoices	WC2-manual-verified		mapped
src/screen.c	1413	00430DA0		GetPendingMenuAction				unmapped
src/screen.c	1419	00430DB0		SetPendingMenuAction				unmapped
src/screen.c	1425	00430DC0	00447526	OpenCommRecipientMenu	OpenCommRecipientMenu	WC1-fuzzy-very-low		mapped
src/screen.c	1432	00430DE0	00447544	CloseCommChoiceMenu	CloseCommChoiceMenu	WC1-manual-verified		mapped
src/screen.c	1448	00430E10	0044756F	wingman_dead	wingman_dead	WC1-callgraph-propagated		mapped
src/screen.c	1454	00430E30	0044759B	have_target	have_target	WC1-manual-verified		mapped
src/screen.c	1460	00430E50	004475D3	CanOpenCommMenu	CanOpenCommMenu	WC1-callgraph-single		mapped
src/screen.c	1470	00430E70	0044760F	SelectCommRecipient	SelectCommRecipient	WC1-manual-verified		mapped
src/screen.c	1477	00430E90	00447629	BuildCommunicationRecipientMenu	BuildCommunicationRecipientMenu	WC1-fuzzy-followup		mapped
src/screen.c	1526	00430FC0	00447890	BuildCommunicationCommandMenu	BuildCommunicationCommandMenu	WC1-fuzzy-followup		mapped
src/screen.c	1599	00431200	00447D85	RefreshCommunicationMenu	RefreshCommunicationMenu	WC1-fuzzy-low		mapped
src/screen.c	1612	00431240	00447DE3	HandleCommunicationMenuRequest	HandleCommunicationMenuRequest	WC1-fuzzy-low		mapped
src/screen.c	1625	00431290	00447E47	show_communications_disp	show_communications_disp	WC1-fuzzy-very-low		mapped
src/screen.c	1668	00431350	00447EF5	Chosen_communicate_option	Chosen_communicate_option	WC1-callgraph-propagated		mapped
src/screen.c	1701	00431400	00448008	IssueQuickCommCommand	IssueQuickCommCommand	manual-verified		mapped
src/screen.c	1714	00431410	0044804A	FreeCommDisplayResources	FreeCommDisplayResources	WC1-order-exact		mapped
src/screen.c	1738	00431470	00448070	EndCommSessionWithWingman	EndCommSessionWithWingman	WC1-fuzzy-low		mapped
src/screen.c	1753	004314C0	004480C6	EndCommMenu	EndCommMenu	WC1-fuzzy-low		mapped
src/screen.c	1762	004314F0	00448100	ShowCentredPrompt	ShowCentredPrompt	WC1-fuzzy-followup		mapped
src/screen.c	1800	00431520	00447300	LoadCommPortraitResources	LoadCommPortraitResources	WC1-manual-verified		mapped
src/screen.c	1814	004315C0	00448136	ExpandCommMessageTokens	DispatchUiFn15C0	WC1-fuzzy-very-low		mapped
src/screen.c	1859	004316E0	004482CA	real_vid_transmit	DrawTbl0059d650Fn16E0	WC1-fuzzy-followup		mapped
src/screen.c	1953	004318F0		ShutdownVideoHook				unmapped
src/screen.c	2006	004319B0	00401978	PrintPaletteAllocationMap	PrintPaletteAllocationMap	WC1-fuzzy-medium		mapped
src/screen.c	2006		00401840	ConfigureDefaultSpacePalette	ConfigureDefaultSpacePalette	WC2-only		wc2-only
src/screen.c	2027	00431A10	00423480	LoadJoystickCalibrationFile	LoadJoystickCalibrationFile	WC1-fuzzy-high		mapped
src/screen.c	2145	00431D20	004238E9	ReadCalibratedJoystick	ReadCalibratedJoystick	WC1-fuzzy-very-low		mapped
src/screen.c	2232	00431EA0		UnionRectBounds				unmapped
src/screen.c	2247	00431F00	0045CD2C	ThrottleFrameAndDrawFps	ThrottleFrameAndDrawFps	WC1-fuzzy-very-low		mapped
src/screens.c	9	00436D00		LoadBriefingRoom				unmapped
src/screens.c	9		0042C04B	ClearActiveCutscenePixelAlias	ClearActiveCutscenePixelAlias	WC2-only		wc2-only
src/screens.c	10		0042C607	FindActiveCutsceneFileResources	FindActiveCutsceneFileResources	WC2-only		wc2-only
src/screens.c	11		0042BDDB	HasCutsceneMusicNode	HasCutsceneMusicNode	WC2-only		wc2-only
src/screens.c	17		0042BFB8	RouteCutsceneViewportToDisplay	RouteCutsceneViewportToDisplay	WC2-only		wc2-only
src/screens.c	21		0042BF0C	LogChangedCutsceneWorkBuffers	LogChangedCutsceneWorkBuffers	WC2-only		wc2-only
src/screens.c	23		0042C659	FindActiveCutsceneObjectResources	FindActiveCutsceneObjectResources	WC2-only		wc2-only
src/screens.c	24		0042C0A2	IsCutsceneSpeechLoaded	IsCutsceneSpeechLoaded	WC2-only		wc2-only
src/screens.c	36		0042C6AC	RemoveCutsceneMemberIndex	RemoveCutsceneMemberIndex	WC2-only		wc2-only
src/screens.c	47	00436E30	0042D568	RunLoadedCutscene	RunLoadedCutscene	WC2-manual-verified		mapped
src/screens.c	51		0042C725	FatalCutsceneError	FatalCutsceneError	WC2-only		wc2-only
src/screens.c	62		0042C75D	ResetCutsceneSpriteDrawTicks	ResetCutsceneSpriteDrawTicks	WC2-only		wc2-only
src/screens.c	64		0042C373	LoadCutsceneCockpitOverlay	LoadCutsceneCockpitOverlay	WC2-only		wc2-only
src/screens.c	73		0042C3A7	DrawCutsceneCockpitOverlay	DrawCutsceneCockpitOverlay	WC2-only		wc2-only
src/screens.c	74		0042C7BC	PresentCutsceneFrame	PresentCutsceneFrame	WC2-only		wc2-only
src/screens.c	88		0042C8E1	ConsumeCutscenePalettePacket	ConsumeCutscenePalettePacket	WC2-only		wc2-only
src/screens.c	90	00436F50		AwardCampaignMedal				unmapped
src/screens.c	97		0042C43D	RunCutsceneWipeTransition	RunCutsceneWipeTransition	WC2-only		wc2-only
src/screens.c	138		0042CB08	ReleaseCutsceneSoundEffects	ReleaseCutsceneSoundEffects	WC2-only		wc2-only
src/screens.c	141		0042C5A2	WaitForCutsceneInputEvent	WaitForCutsceneInputEvent	WC2-only		wc2-only
src/screens.c	147	004370D0		DrawMedalChest				unmapped
src/screens.c	201		00434177	HasSavedPilotCampaign	HasSavedPilotCampaign	WC2-only		wc2-only
src/screens.c	236	00437250		DrawMedalLongShot				unmapped
src/screens.c	236		0042CC42	LoadCutsceneSpeechSlot	LoadCutsceneSpeechSlot	WC2-only		wc2-only
src/screens.c	265	004373E0		MedalEstablish				unmapped
src/screens.c	293		0042D227	InitializeCutsceneRuntimeResources	InitializeCutsceneRuntimeResources	WC2-only		wc2-only
src/screens.c	306	004374B0		PinMedal				unmapped
src/screens.c	340		0042D444	InitializeCutsceneViewports	InitializeCutsceneViewports	WC2-only		wc2-only
src/screens.c	346	004375C0		DrawMedals				unmapped
src/screens.c	361		0042D4FA	ReleaseCutsceneSpeechPackets	ReleaseCutsceneSpeechPackets	WC2-only		wc2-only
src/screens.c	361		0042D181	FindLoadedCutsceneMusic	FindLoadedCutsceneMusic	WC2-only		wc2-only
src/screens.c	401		0042C0F1	DrawCutsceneTextAt	DrawCutsceneTextAt	WC2-only		wc2-only
src/screens.c	408	00437770		EstablishingShot				unmapped
src/screens.c	459	004378D0		DrawBriefingLongShot				unmapped
